epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,14627.4,1.14245,1.20715,1.1784,0.86765,0.63509,0.73983,0.56137,0.91424,0.95463,0.96781,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884,0.00356521,0.0011884
31,15095,1.11079,1.17754,1.16924,0.83396,0.65458,0.74864,0.56078,0.90938,0.94438,0.96719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
32,15561,1.1101,1.17876,1.17254,0.84796,0.63229,0.7506,0.55968,0.90773,0.95476,0.9602,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554,0.00346619,0.0011554
33,16028.1,1.11801,1.16599,1.16928,0.85989,0.65015,0.7514,0.56428,0.884,0.93926,0.94589,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889,0.00341668,0.00113889
34,16490.6,1.10949,1.15891,1.15981,0.83975,0.65242,0.75228,0.56375,0.89564,0.92726,0.95353,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239,0.00336717,0.00112239
35,16956.7,1.10108,1.13842,1.15392,0.81486,0.65093,0.75192,0.572,0.90674,0.94599,0.94725,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589,0.00331766,0.00110589
36,17424.7,1.10642,1.15859,1.16365,0.82547,0.67514,0.75731,0.56964,0.89132,0.92966,0.94972,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
37,17894.9,1.09728,1.13937,1.15034,0.8656,0.66302,0.76605,0.5838,0.88766,0.90601,0.9402,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288,0.00321864,0.00107288
38,18356.6,1.09067,1.13335,1.15219,0.80977,0.68608,0.76399,0.57374,0.88312,0.90523,0.9448,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638,0.00316913,0.00105638
39,18824.1,1.0893,1.12683,1.15285,0.83811,0.67281,0.76976,0.58892,0.86502,0.88612,0.93569,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987,0.00311962,0.00103987
40,19293.6,1.08296,1.12687,1.14908,0.8113,0.67592,0.7619,0.5829,0.86918,0.89585,0.93902,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,19761.7,1.06602,1.09624,1.1444,0.81295,0.6784,0.76382,0.58721,0.86747,0.9053,0.93672,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,20224.1,1.07056,1.10644,1.14649,0.85859,0.67941,0.77755,0.60159,0.86768,0.87567,0.93511,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,20693.7,1.05988,1.09612,1.13685,0.8221,0.70001,0.78038,0.6042,0.85028,0.86908,0.93263,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,21171.3,1.05609,1.09124,1.12942,0.83805,0.70228,0.78109,0.6045,0.85809,0.86087,0.93147,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,21650.3,1.05518,1.0805,1.13362,0.83925,0.68006,0.77156,0.59636,0.87096,0.86435,0.93009,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,22118,1.06192,1.09346,1.14051,0.84012,0.70951,0.78394,0.60152,0.84154,0.85618,0.92905,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,22589.2,1.04518,1.07409,1.13113,0.84633,0.68629,0.78003,0.6099,0.83807,0.84011,0.92233,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,23060.4,1.04444,1.07182,1.12947,0.84172,0.6977,0.77933,0.60788,0.82933,0.84302,0.92214,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,23530.7,1.0412,1.0716,1.12898,0.87669,0.67929,0.78281,0.59996,0.83992,0.84209,0.91946,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,23993.6,1.0489,1.06752,1.13259,0.88636,0.67936,0.78456,0.6058,0.83049,0.82952,0.91676,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,24464.1,1.04364,1.05793,1.12686,0.84054,0.7028,0.7895,0.61057,0.83016,0.83088,0.91133,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,24937.5,1.01714,1.04247,1.12256,0.85135,0.69183,0.78313,0.61541,0.80996,0.81368,0.90823,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,25410.5,1.02023,1.04292,1.11641,0.87138,0.68876,0.78889,0.61512,0.8232,0.81714,0.91605,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,25875.8,1.04586,1.05539,1.12817,0.82491,0.72472,0.79566,0.6155,0.82274,0.81705,0.91335,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
55,26347.3,0.99336,1.02771,1.11262,0.78905,0.73234,0.78623,0.61583,0.82106,0.82074,0.91385,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
56,26820.5,1.02627,1.03553,1.11786,0.828,0.71827,0.79247,0.61627,0.83452,0.82755,0.92075,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
57,27293,1.02347,1.02428,1.10881,0.83594,0.70809,0.79203,0.61658,0.80836,0.80926,0.9052,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
